-8.633333333333332860e+01,-9.433333333333332860e+01,-9.100000000000000000e+01,-9.550000000000000000e+01,-9.500000000000000000e+01,-9.650000000000000000e+01,-8.700000000000000000e+01,nan,-9.600000000000000000e+01,nan
-9.000000000000000000e+01,-8.700000000000000000e+01,-9.400000000000000000e+01,-8.600000000000000000e+01,-9.200000000000000000e+01,-8.966666666666667140e+01,-8.850000000000000000e+01,nan,-8.500000000000000000e+01,nan
-8.816666666666667140e+01,-8.385714285714286120e+01,-8.671428571428570820e+01,-8.363636363636364024e+01,-8.000000000000000000e+01,-8.100000000000000000e+01,-8.700000000000000000e+01,-8.920000000000000284e+01,-9.250000000000000000e+01,-9.600000000000000000e+01
-8.871428571428570820e+01,-7.611111111111111427e+01,-7.870000000000000284e+01,-7.470000000000000284e+01,-8.172727272727273373e+01,-8.933333333333332860e+01,-8.633333333333332860e+01,-9.150000000000000000e+01,-9.100000000000000000e+01,-9.400000000000000000e+01
-8.650000000000000000e+01,-8.316666666666667140e+01,-8.172727272727273373e+01,-7.590909090909090651e+01,-6.927272727272726627e+01,-6.900000000000000000e+01,-7.609999999999999432e+01,-8.566666666666667140e+01,-9.400000000000000000e+01,-9.433333333333332860e+01
-9.100000000000000000e+01,-9.075000000000000000e+01,-7.837500000000000000e+01,-6.690000000000000568e+01,-6.933333333333332860e+01,-7.566666666666667140e+01,-8.412500000000000000e+01,-8.428571428571429180e+01,-8.840000000000000568e+01,-8.833333333333332860e+01
-8.950000000000000000e+01,-9.159999999999999432e+01,-8.366666666666667140e+01,-8.533333333333332860e+01,-8.055555555555555713e+01,-7.709090909090909349e+01,-8.212500000000000000e+01,-8.412500000000000000e+01,-8.959999999999999432e+01,-9.333333333333332860e+01
-8.850000000000000000e+01,-8.528571428571429180e+01,-8.511111111111111427e+01,-8.571428571428570820e+01,-8.812500000000000000e+01,-8.312500000000000000e+01,-8.300000000000000000e+01,-9.250000000000000000e+01,-9.700000000000000000e+01,-8.500000000000000000e+01
-9.400000000000000000e+01,-9.600000000000000000e+01,-8.725000000000000000e+01,-9.025000000000000000e+01,-9.000000000000000000e+01,-9.100000000000000000e+01,-8.400000000000000000e+01,-7.850000000000000000e+01,nan,nan
-9.175000000000000000e+01,-9.650000000000000000e+01,-9.300000000000000000e+01,-9.150000000000000000e+01,-9.100000000000000000e+01,-9.120000000000000284e+01,-8.750000000000000000e+01,-1.000000000000000000e+02,-9.900000000000000000e+01,-9.900000000000000000e+01
